,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,ANC,REPORT_DAT,METHOD,location,LATITUDE,Year
216,cluster 22,9102.0,violent,-76.9880188159739,2017-09-20T20:45:37.000,homicide,midnight,139147.0,5,5,2017,violent|homicide,,5D2,505,1,009102 2,precinct 72,401039.0,2200 - 2299 block of 13th street ne,2017-09-20T20:40:53.000,17163677,homicide,5C,2017-09-20T04:00:00.000Z,gun,"38.92020116534966,-76.988021097012648",38.9201933726966,2017
217,cluster 23,8802.0,violent,-76.989347065074,,homicide,midnight,137563.0,5,5,2017,violent|homicide,,5D3,506,1,008802 3,precinct 77,400924.0,1100 - 1199 block of oates street ne,2017-08-23T13:45:49.000,17145690,homicide,5D,2017-08-23T04:00:00.000Z,gun,"38.905932084935451,-76.989349345655484",38.905924295209104,2017
218,cluster 39,9807.0,violent,-77.0094555768934,2017-09-30T07:59:44.000,homicide,midnight,129310.0,7,8,2017,violent|homicide,,7D3,708,1,009807 1,precinct 124,399179.0,100 189  block of atlantic street sw,2017-09-30T07:58:47.000,17169633,homicide,8D,2017-09-30T04:00:00.000Z,gun,"38.831585789611481,-77.009457859207814",38.8315780156392,2017
219,cluster 33,7707.0,violent,-76.9290192915122,2017-10-08T07:18:30.000,homicide,midnight,134516.0,6,7,2017,violent|homicide,,6D3,604,1,007707 1,precinct 106,406159.0,5100 - 5199 block of h street se,2017-10-08T02:35:45.000,17174395,homicide,7E,2017-10-08T04:00:00.000Z,gun,"38.878462491160953,-76.929021551629575",38.8784547047329,2017
220,cluster 22,11100.0,violent,-76.9771673661107,2017-12-27T02:54:22.000,homicide,midnight,139268.0,5,5,2017,violent|homicide,,5D2,505,1,011100 3,precinct 72,401980.0,1815 - 1999 block of bryant street ne,2017-12-27T02:52:01.000,17222010,homicide,5C,2017-12-27T05:00:00.000Z,gun,"38.921289556845593,-76.977169643835722",38.9212817635688,2017
221,cluster 34,7601.0,violent,-76.977182578964,2017-07-27T03:04:16.000,homicide,midnight,133990.0,6,8,2017,violent|homicide,,6D2,607,1,007601 1,precinct 133,401980.0,1903 - 2099 block of fairlawn avenue se,2017-07-26T23:19:43.000,17128657,homicide,8A,2017-07-26T04:00:00.000Z,gun,"38.873743412965069,-76.977184853795137",38.8737356292799,2017
222,cluster 21,3302.0,violent,-77.0090513707026,2017-09-24T02:33:08.000,homicide,midnight,138427.0,5,5,2017,violent|homicide,,5D1,502,1,003302 2,precinct 19,399215.0,1724 - 1799 block of north capitol street,2017-09-23T23:19:10.000,17165741,homicide,5E,2017-09-25T04:00:00.000Z,knife,"38.913715428771539,-77.00905365789616",38.9137076382101,2017
223,cluster 28,7504.0,violent,-76.9809993041415,2017-10-21T00:27:19.000,homicide,midnight,133032.0,7,8,2017,violent|homicide,,7D1,701,1,007504 1,precinct 114,401649.0,1600 - 1699 block of u street se,2017-10-20T22:53:31.000,17182420,homicide,8A,2017-10-20T04:00:00.000Z,gun,"38.865114040829774,-76.981001579635915",38.8651062590285,2017
224,cluster 18,2201.0,violent,-77.020246036796,2017-07-30T02:05:03.000,homicide,midnight,142404.0,4,4,2017,violent|homicide,,4D3,407,1,002201 1,precinct 55,398245.0,4820  - 4899 block of kansas avenue nw,2017-07-30T01:59:18.000,17130498,homicide,4D,2017-07-30T04:00:00.000Z,gun,"38.949540065694514,-77.020248329667638",38.9495322683316,2017
295,cluster 31,7808.0,violent,-76.91298345991791,2017-05-10T20:46:01.000,homicide,midnight,136017.0,6,7,2017,violent|homicide,,6D1,608,1,007808 2,precinct 96,407549.0,6100 - 6199 block of banks place ne,2017-05-10T20:43:59.000,17078350,homicide,7C,2017-05-10T04:00:00.000Z,gun,"38.891973234961476,-76.912985715861112",38.89196544521071,2017
296,cluster 34,7601.0,violent,-76.98150516908291,2017-06-18T00:48:48.000,homicide,midnight,133515.0,6,8,2017,violent|homicide,,6D2,607,1,007601 4,precinct 140,401605.0,1600 - 1699 block of r street se,2017-06-17T21:06:31.000,17103451,homicide,8A,2017-06-26T04:00:00.000Z,knife,"38.869465184922902,-76.981507444999679",38.8694574022621,2017
297,cluster 33,7707.0,violent,-76.930805481595,2017-07-22T00:50:12.000,homicide,midnight,134532.0,6,7,2017,violent|homicide,,6D3,604,1,007707 1,precinct 106,406004.0,5000 - 5099 block of h street se,2017-07-21T21:45:19.000,17125613,homicide,7E,2017-07-21T04:00:00.000Z,gun,"38.878607697384169,-76.930807742277636",38.8785999109931,2017
298,cluster 38,7404.0,violent,-76.9817295191922,2017-09-02T19:00:05.000,homicide,midnight,131170.0,7,8,2017,violent|homicide,,7D2,704,1,007404 2,precinct 117,401586.0,1500 - 1599 block of tubman road se,2017-09-02T18:55:10.000,17152162,homicide,8E,2017-09-03T04:00:00.000Z,gun,"38.848340464987217,-76.981731793893758",38.848332686599896,2017
299,cluster 21,8702.0,violent,-77.0027790338082,2017-03-02T19:51:35.000,homicide,midnight,139012.0,5,5,2017,violent|homicide,,5D1,502,1,008702 1,precinct 75,399759.0,200 - 299 block of rhode island avenue ne,2017-03-02T15:55:28.000,17035259,homicide,5E,2017-03-03T05:00:00.000Z,others,"38.918985621658599,-77.002781319370243",38.918977829800795,2017
300,cluster 28,7503.0,violent,-76.9871866339119,2017-03-23T07:05:37.000,homicide,midnight,133207.0,7,8,2017,violent|homicide,,7D1,701,1,007503 1,precinct 114,401112.0,1900 - 1999 block of 13th street se,2017-03-23T04:45:50.000,17047091,homicide,8A,2017-03-23T04:00:00.000Z,gun,"38.86669135591395,-76.987188911429016",38.8666835740244,2017
301,cluster 29,9601.0,violent,-76.94310280219959,2017-03-31T07:27:53.000,homicide,midnight,137681.0,6,7,2017,violent|homicide,,6D1,601,1,009601 1,precinct 92,404935.0,4144 - 4263 block of anacostia avenue ne,2017-03-31T07:25:39.000,17052309,homicide,7D,2017-05-10T04:00:00.000Z,knife,"38.906981703539579,-76.943105068440005",38.9069739118801,2017
302,cluster 34,7601.0,violent,-76.977182578964,2017-03-24T00:32:28.000,homicide,midnight,133990.0,6,8,2017,violent|homicide,,6D2,607,1,007601 1,precinct 133,401980.0,1903 - 2099 block of fairlawn avenue se,2017-03-24T00:30:57.000,17047705,homicide,8A,2017-03-24T04:00:00.000Z,gun,"38.873743412965069,-76.977184853795137",38.8737356292799,2017
303,cluster 39,9801.0,violent,-76.9946444581635,2017-02-13T00:02:46.000,homicide,midnight,129412.0,7,8,2017,violent|homicide,,7D3,706,1,009801 1,precinct 121,400465.0,3900 - 3999 block of 8th street se,2017-02-12T22:29:30.000,17024744,homicide,8E,2017-02-13T05:00:00.000Z,gun,"38.83250491360733,-76.994646735923311",38.8324971388986,2017
304,cluster 23,8802.0,violent,-76.9880094337829,2017-01-26T15:14:03.000,homicide,midnight,137728.0,5,5,2017,violent|homicide,,5D3,506,1,008802 4,precinct 77,401040.0,1100 - 1199 block of queen street ne,2017-01-26T07:30:56.000,17014590,homicide,5D,2017-06-07T04:00:00.000Z,others,"38.907418333036325,-76.988011714038493",38.9074105429604,2017
305,cluster 31,7807.0,violent,-76.9229533236416,2017-02-01T21:50:26.000,homicide,midnight,137294.0,6,7,2017,violent|homicide,,6D1,608,1,007807 2,precinct 95,406683.0,934 - 1099 block of eastern avenue ne,2017-02-01T19:05:18.000,17018436,homicide,7C,2017-02-01T05:00:00.000Z,gun,"38.903483920886075,-76.922955583391357",38.903476129183,2017
306,cluster 38,7403.0,violent,-76.9761424587957,2017-10-22T22:38:25.000,homicide,midnight,131148.0,7,8,2017,violent|homicide,,7D2,704,1,007403 1,precinct 116,402071.0,1900 2199  block of savannah terrace se,2017-10-22T20:40:47.000,17183585,homicide,8E,2017-10-22T04:00:00.000Z,gun,"38.848141271387817,-76.976144731745549",38.848133492833,2017
307,cluster 32,9603.0,violent,-76.9397260400791,2017-03-20T20:41:01.000,homicide,midnight,135992.0,6,7,2017,violent|homicide,,6D3,603,1,009603 1,precinct 102,405229.0,4266 - 4399 block of benning road ne,2017-03-20T20:39:47.000,17045652,homicide,7D,2017-03-21T04:00:00.000Z,gun,"38.891764884915638,-76.939728304340946",38.8917570962006,2017
308,cluster 31,7804.0,violent,-76.929085613483,2017-01-29T23:41:53.000,homicide,midnight,136119.0,6,7,2017,violent|homicide,,6D1,602,1,007804 2,precinct 97,406152.0,200 227  block of 51st street ne,2017-01-29T19:34:56.000,17016629,homicide,7C,2017-01-30T05:00:00.000Z,gun,"38.892902973895751,-76.929087874499331",38.8928951845556,2017
309,cluster 31,7807.0,violent,-76.9224951785455,2017-10-11T02:34:56.000,homicide,midnight,136987.0,6,7,2017,violent|homicide,,6D1,608,1,007807 2,precinct 95,406723.0,5420 5499  block of hunt place ne,2017-10-10T23:44:04.000,17176101,homicide,7C,2017-10-10T04:00:00.000Z,gun,"38.900718051303507,-76.922497437984205",38.900710260141395,2017
310,cluster 18,2502.0,violent,-77.0262412575881,2017-11-05T18:15:46.000,homicide,midnight,141317.0,4,4,2017,violent|homicide,,4D2,404,1,002502 1,precinct 47,397725.0,900  - 999 block of shepherd street nw,2017-11-05T18:10:34.000,17192275,homicide,4C,2017-11-06T05:00:00.000Z,gun,"38.939746866719616,-77.026243551727475",38.9397390715533,2017
311,cluster 22,11100.0,violent,-76.9731766113934,2017-12-26T19:54:42.000,homicide,midnight,139507.0,5,5,2017,violent|homicide,,5D2,503,1,011100 3,precinct 72,402326.0,2200 - 2399 block of douglas street ne,2017-12-26T17:15:33.000,17221838,homicide,5C,2017-12-27T05:00:00.000Z,gun,"38.923441698529281,-76.973178888006643",38.9234339046699,2017
312,cluster 31,7809.0,violent,-76.9246602542827,2017-11-15T23:33:34.000,homicide,midnight,137223.0,6,7,2017,violent|homicide,,6D1,608,1,007809 1,precinct 94,406535.0,5200 - 5299 block of just street ne,2017-11-15T18:44:03.000,17198148,homicide,7C,2017-11-16T05:00:00.000Z,gun,"38.902845440603045,-76.924662514525394",38.902837649092206,2017
313,,10300.0,violent,-77.0265894891404,,homicide,midnight,145403.0,4,4,2017,violent|homicide,,4D1,401,1,010300 1,precinct 62,397696.0,7100  - 7199 block of georgia avenue nw,2017-12-08T08:03:32.000,17211542,homicide,4A,2017-12-08T05:00:00.000Z,gun,"38.976554546767971,-77.02659178564403",38.9765467442025,2017
314,cluster 38,7403.0,violent,-76.9726743837028,2017-07-22T11:22:40.000,homicide,midnight,131325.0,7,8,2017,violent|homicide,,7D2,704,1,007403 1,precinct 116,402372.0,2200 2299  block of savannah terrace se,2017-07-22T08:14:41.000,17125791,homicide,8E,2017-07-22T04:00:00.000Z,gun,"38.849735005028833,-76.972676655669602",38.8497272260233,2017
315,cluster 39,10900.0,violent,-77.0103753332952,,homicide,midnight,128076.0,7,8,2017,violent|homicide,,7D3,708,1,010900 2,precinct 126,399099.0,130 - 199 block of irvington street sw,2017-05-09T14:07:08.000,17077367,homicide,8D,2017-05-09T04:00:00.000Z,gun,"38.820469256770828,-77.010377615220307",38.8204614850786,2017
316,cluster 9,11000.0,violent,-77.0160870505775,,homicide,midnight,133801.0,1,6,2017,violent|homicide,,1D3,105,1,011000 2,precinct 127,398604.0,300 - 379 block of p street sw,2017-11-25T21:22:25.000,17204015,homicide,6D,2017-11-25T05:00:00.000Z,gun,"38.872041944405559,-77.016089337418975",38.872034162512,2017
317,cluster 2,3200.0,violent,-77.0229866073719,2017-09-11T01:11:51.000,homicide,midnight,140667.0,4,1,2017,violent|homicide,,4D3,409,1,003200 2,precinct 43,398007.0,600 - 699 block of newton place nw,2017-09-10T21:28:17.000,17157185,homicide,1A,2017-09-10T04:00:00.000Z,gun,"38.933892157635498,-77.022988900139254",38.9338843635273,2017
318,cluster 18,2201.0,violent,-77.020246036796,2017-07-30T02:05:03.000,homicide,midnight,142404.0,4,4,2017,violent|homicide,,4D3,407,1,002201 1,precinct 55,398245.0,4820  - 4899 block of kansas avenue nw,2017-07-30T01:59:18.000,17130498,homicide,4D,2017-07-30T04:00:00.000Z,gun,"38.949540065694514,-77.020248329667638",38.9495322683316,2017
361,cluster 23,8904.0,violent,-76.9741769051526,,homicide,midnight,136888.0,5,5,2017,violent|homicide,,5D3,507,1,008904 2,precinct 79,402240.0,713 - 799 block of 21st street ne,2017-02-17T12:51:15.000,17027414,homicide,5D,2017-02-18T05:00:00.000Z,others,"38.899849077118738,-76.974179180638046",38.8998412880543,2017
362,cluster 34,7601.0,violent,-76.974094866873,2017-03-17T12:27:16.000,homicide,midnight,133774.0,6,8,2017,violent|homicide,,6D2,607,1,007601 1,precinct 133,402248.0,2200 - 2299 block of minnesota avenue se,2017-03-17T08:55:12.000,17043416,homicide,8A,2017-03-17T04:00:00.000Z,gun,"38.871796953787907,-76.974097140624139",38.8717891703808,2017
363,cluster 23,7901.0,violent,-76.97841945042771,2017-10-28T22:45:40.000,homicide,midnight,136822.0,5,6,2017,violent|homicide,,5D3,507,1,007901 1,precinct 81,401872.0,1700 - 1799 block of benning road ne,2017-10-28T22:37:58.000,17187573,homicide,6A,2017-10-28T04:00:00.000Z,others,"38.899255385868422,-76.978421727198395",38.899247597081704,2017
364,cluster 32,9604.0,violent,-76.95751073991029,2017-12-12T10:39:13.000,homicide,midnight,136224.0,6,7,2017,violent|homicide,,6D3,603,1,009604 2,precinct 101,403686.0,300 319  block of 34th street ne,2017-12-12T08:34:12.000,17213803,homicide,7D,2017-12-12T05:00:00.000Z,others,"38.893862649744108,-76.957513009839843",38.8938548612672,2017
365,cluster 31,7808.0,violent,-76.92307890830949,2017-06-19T10:15:57.000,homicide,midnight,136234.0,6,7,2017,violent|homicide,,6D1,608,1,007808 1,precinct 96,406673.0,300 - 399 block of 54th street ne,2017-06-19T10:14:59.000,17104279,homicide,7C,2017-06-19T04:00:00.000Z,gun,"38.893935136139731,-76.923081167517367",38.8939273463681,2017
366,cluster 31,7804.0,violent,-76.9292337940471,2017-07-06T00:18:26.000,homicide,midnight,136306.0,6,7,2017,violent|homicide,,6D1,602,1,007804 2,precinct 97,406139.0,300 - 409 block of 50th street ne,2017-07-05T21:53:01.000,17115197,homicide,7C,2017-07-05T04:00:00.000Z,gun,"38.894587629511925,-76.929236055212101",38.8945798398373,2017
367,cluster 38,7409.0,violent,-76.97277961700941,2017-07-29T05:11:57.000,homicide,midnight,130873.0,7,8,2017,violent|homicide,,7D2,704,1,007409 2,precinct 116,402363.0,3400 - 3683 block of 22nd street se,2017-07-29T01:15:13.000,17129919,homicide,8B,2017-07-30T04:00:00.000Z,knife,"38.84566321413245,-76.972781888761574",38.845655435953105,2017
368,cluster 21,4600.0,violent,-77.0136745670359,2017-05-27T04:00:24.000,homicide,midnight,138139.0,5,5,2017,violent|homicide,,5D1,501,1,004600 2,precinct 19,398814.0,100 - 299 block of q street nw,2017-05-27T01:00:42.000,17089073,homicide,5E,2017-05-27T04:00:00.000Z,gun,"38.911120577045558,-77.013676855510766",38.911112787179704,2017
369,cluster 39,9807.0,violent,-77.0090065320559,2017-09-11T21:31:27.000,homicide,midnight,129419.0,7,8,2017,violent|homicide,,7D3,708,1,009807 1,precinct 124,399218.0,3900 - 3999 block of martin luther king jr avenue sw,2017-09-11T21:29:53.000,17157820,homicide,8D,2017-09-11T04:00:00.000Z,knife,"38.832567747676514,-77.009008814290226",38.832559973489204,2017
370,cluster 25,8410.0,violent,-76.9902468893889,2017-02-17T21:25:15.000,homicide,midnight,137116.0,1,6,2017,violent|homicide,,1D2,104,1,008410 1,precinct 82,400846.0,900 - 999 block of 12th street ne,2017-02-17T21:20:56.000,17027682,homicide,6A,2017-02-17T05:00:00.000Z,gun,"38.901905429245623,-76.990249170004944",38.901897640364794,2017
371,cluster 38,7404.0,violent,-76.9786413830454,2017-03-11T05:35:45.000,homicide,midnight,131473.0,7,8,2017,violent|homicide,,7D2,704,1,007404 1,precinct 117,401854.0,1800 - 1897 block of bruce place se,2017-03-11T02:15:26.000,17040305,homicide,8E,2017-03-11T05:00:00.000Z,knife,"38.851069497716871,-76.978643656951306",38.8510617186636,2017
372,cluster 38,7409.0,violent,-76.97891999018441,2017-04-14T23:24:25.000,homicide,midnight,130676.0,7,8,2017,violent|homicide,,7D2,704,1,007409 3,precinct 116,401830.0,3500 - 3599 block of stanton road se,2017-04-14T20:05:51.000,17061523,homicide,8B,2017-04-30T04:00:00.000Z,gun,"38.843889820487533,-76.978922263740699",38.8438820428946,2017
373,cluster 23,7901.0,violent,-76.9803906515132,2017-01-24T14:45:56.000,homicide,midnight,136862.0,5,6,2017,violent|homicide,,5D3,507,1,007901 4,precinct 81,401701.0,1516 - 1699 block of benning road ne,2017-01-24T14:40:45.000,17013426,homicide,6A,2017-01-24T05:00:00.000Z,gun,"38.899616067759396,-76.980392928919869",38.8996082789733,2017
374,cluster 19,9508.0,violent,-77.0005422371275,2017-08-13T02:51:56.000,homicide,midnight,142923.0,4,5,2017,violent|homicide,,4D2,405,1,009508 1,precinct 66,399953.0,5200 - 5299 block of 4th street ne,2017-08-12T22:45:34.000,17139181,homicide,5A,2017-08-12T04:00:00.000Z,others,"38.95421711192796,-77.000544524147386",38.95420931288729,2017
375,cluster 17,1804.0,violent,-77.031570093031,2017-11-07T20:21:39.000,homicide,midnight,144169.0,4,4,2017,violent|homicide,,4D1,402,1,001804 3,precinct 60,397264.0,1300  - 1399 block of rittenhouse street nw,2017-11-07T20:15:13.000,17193528,homicide,4A,2017-11-07T05:00:00.000Z,gun,"38.965437140799736,-77.031572390404349",38.965429340658496,2017
376,cluster 8,4701.0,violent,-77.01167898209731,2017-09-13T21:20:33.000,homicide,midnight,137531.0,1,6,2017,violent|homicide,,1D1,103,1,004701 1,precinct 1,398987.0,51 - 99 block of m street nw,2017-09-13T21:17:17.000,17159182,homicide,6E,2017-09-14T04:00:00.000Z,gun,"38.905643718810992,-77.011681269616204",38.905635929975,2017
377,cluster 2,2900.0,violent,-77.0278545625616,2017-11-19T04:10:02.000,homicide,midnight,140879.0,4,1,2017,violent|homicide,,4D3,409,1,002900 1,precinct 42,397585.0,1000  - 1099 block of spring road nw,2017-11-19T02:01:10.000,17200231,homicide,1A,2017-11-19T05:00:00.000Z,gun,"38.935800858906944,-77.027856856961932",38.9357930645959,2017
378,cluster 39,10400.0,violent,-76.9968206319164,2017-12-23T11:51:37.000,homicide,midnight,130895.0,7,8,2017,violent|homicide,,7D2,707,1,010400 2,precinct 123,400276.0,2900 - 2917 block of martin luther king jr avenue se,2017-12-23T11:50:30.000,17220491,homicide,8C,2017-12-26T05:00:00.000Z,gun,"38.845864529373976,-76.996822911165808",38.845856752047794,2017
392,cluster 25,8001.0,violent,-76.9845756858135,,homicide,midnight,136696.0,1,6,2018,violent|homicide,,1D2,108,1,008001 1,precinct 81,401338.0,600 - 699 block of 14th place ne,2017-01-17T06:38:02.000,17009136,homicide,6A,2018-07-09T04:00:00.000Z,gun,"38.89812130698791,-76.984577964432404",38.8981135186591,2017
393,cluster 37,7401.0,violent,-76.9954720386854,,homicide,midnight,132326.0,7,8,2018,violent|homicide,anacostia,7D1,703,1,007401 2,precinct 119,400393.0,2600 - 2631 block of martin luther king jr avenue se,2017-04-28T12:21:45.000,17070029,homicide,8C,2018-01-09T05:00:00.000Z,gun,"38.858755554112172,-76.995474318299244",38.8587477741329,2017
