,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,ANC,REPORT_DAT,METHOD,location,LATITUDE,Year
50,cluster 39,9811.0,violent,-76.99239893677529,2017-06-09T01:33:09.000,homicide,midnight,129046.0,7,8,2017,violent|homicide,,7D3,706,1,009811 2,precinct 125,400660.0,800 899  block of chesapeake street se,2017-06-09T01:27:06.000,17097742,homicide,8D,2017-06-09T04:00:00.000Z,knife,"38.829207690742102,-76.992401213635787",38.829199916616105,2017
51,cluster 23,8903.0,violent,-76.978994718669,2017-07-20T23:31:42.000,homicide,midnight,137250.0,5,5,2017,violent|homicide,,5D3,507,1,008903 1,precinct 78,401822.0,1000 - 1099 block of 17th street ne,2017-07-20T22:51:20.000,17124941,homicide,5D,2017-07-20T04:00:00.000Z,gun,"38.903111068188338,-76.978996995853947",38.9031032786453,2017
52,cluster 19,9501.0,violent,-77.00438332526241,2017-08-14T22:09:58.000,homicide,midnight,141624.0,4,5,2017,violent|homicide,,4D2,405,1,009501 3,precinct 44,399620.0,4322 - 4399 block of 2nd street ne,2017-08-14T22:04:47.000,17140356,homicide,5A,2017-08-15T04:00:00.000Z,gun,"38.942515276398602,-77.004385612762718",38.942507479858605,2017
53,cluster 29,9601.0,violent,-76.9375178068818,2017-07-30T14:55:16.000,homicide,midnight,138290.0,6,7,2017,violent|homicide,,6D1,601,1,009601 1,precinct 92,405419.0,4400 - 4499 block of quarles street ne,2017-07-30T14:50:08.000,17130744,homicide,7D,2017-07-30T04:00:00.000Z,gun,"38.912464933515928,-76.937520071716307",38.912457140542706,2017
54,cluster 31,7809.0,violent,-76.93659470378441,2017-06-29T00:19:03.000,homicide,midnight,136936.0,6,7,2017,violent|homicide,,6D1,602,1,007809 2,precinct 94,405500.0,800 - 819 block of 46th street ne,2017-06-29T00:17:22.000,17110662,homicide,7D,2017-06-29T04:00:00.000Z,gun,"38.900267127503085,-76.936596967588386",38.9002593369561,2017
55,cluster 3,4300.0,violent,-77.03329084464958,2017-01-08T20:10:25.000,homicide,midnight,139035.0,3,1,2017,violent|homicide,,3D3,301,1,004300 1,precinct 22,397113.0,1400 - 1499 block of w street nw,2017-01-08T20:05:21.000,17004452,homicide,1B,2017-01-09T05:00:00.000Z,knife,"38.919188103042799,-77.033293139726482",38.9191803122825,2017
57,cluster 35,7603.0,violent,-76.94872503544971,2017-05-22T04:47:26.000,homicide,midnight,132969.0,6,7,2017,violent|homicide,,6D2,605,1,007603 1,precinct 110,404450.0,3901 3998  block of pennsylvania avenue se,2017-05-22T04:45:07.000,17085758,homicide,7B,2017-05-22T04:00:00.000Z,gun,"38.864536799634394,-76.948727300858266",38.8645290167499,2017
58,cluster 36,7502.0,violent,-76.97259128742591,2017-06-16T22:44:07.000,homicide,midnight,132035.0,7,8,2017,violent|homicide,,7D1,702,1,007502 1,precinct 115,402379.0,2700 2899  block of langston place se,2017-06-16T22:43:25.000,17102882,homicide,8B,2017-06-16T04:00:00.000Z,gun,"38.856130973403047,-76.972593559755722",38.856123193102796,2017
59,cluster 23,8904.0,violent,-76.9774970825627,2017-05-30T19:30:19.000,homicide,midnight,136865.0,5,5,2017,violent|homicide,,5D3,507,1,008904 2,precinct 79,401952.0,748 - 799 block of 18th street ne,2017-05-30T19:20:13.000,17091509,homicide,5D,2017-05-30T04:00:00.000Z,gun,"38.899642571415825,-76.977499359069654",38.89963478251661,2017
60,cluster 25,8302.0,violent,-76.9973141730032,2017-04-16T13:40:20.000,homicide,midnight,136192.0,1,6,2017,violent|homicide,,1D2,107,1,008302 1,precinct 85,400233.0,600 - 699 block of c street ne,2017-04-16T13:39:30.000,17062525,homicide,6C,2017-04-16T04:00:00.000Z,knife,"38.893582076956392,-76.997316455312557",38.8935742900177,2017
61,cluster 39,9804.0,violent,-76.993584252733,2017-03-01T10:51:56.000,homicide,midnight,130171.0,7,8,2017,violent|homicide,,7D2,705,1,009804 1,precinct 122,400557.0,3500 - 3703 block of wheeler road se,2017-03-01T10:50:25.000,17034417,homicide,8C,2017-03-06T05:00:00.000Z,gun,"38.83934227984772,-76.993586530578341",38.8393345037185,2017
62,cluster 38,7403.0,violent,-76.97470152080341,2017-03-28T16:00:32.000,homicide,midnight,131449.0,7,8,2017,violent|homicide,,7D2,704,1,007403 1,precinct 116,402196.0,2001 - 2248 block of alabama avenue se,2017-03-28T15:48:55.000,17050554,homicide,8E,2017-03-28T04:00:00.000Z,gun,"38.850852508091151,-76.974703793469388",38.8508447289352,2017
63,cluster 22,9102.0,violent,-76.9841318811197,2017-08-10T15:34:14.000,homicide,midnight,139563.0,5,5,2017,violent|homicide,,5D2,505,1,009102 1,precinct 72,401376.0,1480 - 1499 block of saratoga avenue ne,2017-08-10T15:32:36.000,17137741,homicide,5C,2017-08-12T04:00:00.000Z,gun,"38.923948165173357,-76.984134161176527",38.923940371620105,2017
65,cluster 30,7804.0,violent,-76.9382667651943,2017-01-17T17:59:33.000,homicide,midnight,136876.0,6,7,2017,violent|homicide,,6D1,602,1,007804 1,precinct 98,405355.0,4400 - 4499 block of hayes street ne,2017-01-17T17:58:39.000,17009513,homicide,7C,2017-01-17T05:00:00.000Z,gun,"38.899727521229572,-76.938269029486293",38.8997197308536,2017
66,cluster 34,7601.0,violent,-76.9822312106498,,homicide,midnight,133481.0,6,8,2017,violent|homicide,,6D2,607,1,007601 5,precinct 140,401542.0,1700 1725  block of 16th street se,2017-12-02T08:13:56.000,17207900,homicide,8A,2017-12-02T05:00:00.000Z,gun,"38.869159011735817,-76.982233486773978",38.8691512291638,2017
67,cluster 39,9807.0,violent,-77.01016873036,2017-12-07T02:43:07.000,homicide,midnight,128601.0,7,8,2017,violent|homicide,,7D3,708,1,009807 2,precinct 126,399117.0,20 - 199 block of forrester street sw,2017-12-06T22:56:54.000,17210804,homicide,8D,2017-12-06T05:00:00.000Z,others,"38.825198725220112,-77.010171012508152",38.825190952564604,2017
68,cluster 39,9803.0,violent,-77.00588526534841,2017-12-29T05:46:54.000,homicide,midnight,129315.0,7,8,2017,violent|homicide,,7D2,707,1,009803 2,precinct 124,399489.0,3920 3999  block of 1st street se,2017-12-29T04:19:14.000,17222986,homicide,8C,2017-12-29T05:00:00.000Z,gun,"38.831631066712504,-77.005887546554249",38.831623292598294,2017
